Plot,Ring,Achillea millefolium,Agropyron repens,Amorpha canescens,Andropogon gerardi,Anemone cylindrica,Asclepias tuberosa,Bouteloua gracilis,Bromus inermis,Koeleria cristata,Lespedeza capitata,Lupinus perennis,Petalostemum villosum,Poa pratensis,Schizachyrium scoparium,Solidago rigida,Sorghastrum nutans
204,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
205,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
207,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
208,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
209,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
212,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
213,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
215,4,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
216,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
217,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
219,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220,4,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
221,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
222,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
223,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,4,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1
225,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,4,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0
227,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
228,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
229,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
230,4,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1
231,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
232,4,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1
233,4,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1
234,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
235,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
237,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
238,4,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
239,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
240,4,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
241,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
242,4,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
243,4,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0
244,4,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
245,5,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0
246,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
247,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
248,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
249,5,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
250,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
251,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
252,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
253,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
254,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
255,5,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
256,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
257,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
259,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
260,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
261,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
262,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
263,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
264,5,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1
265,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
266,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
267,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
268,5,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
269,5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
270,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
271,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
272,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
273,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
274,5,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1
275,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
276,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
278,5,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
279,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
280,5,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0
281,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
282,5,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1
283,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
284,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
286,5,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
287,5,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
288,5,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
289,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
291,5,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
292,5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
293,5,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0
294,5,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0
295,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
296,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
297,5,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
298,5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
299,5,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1
300,5,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1
301,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
302,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
303,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
304,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
305,5,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
306,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
307,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
308,6,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0
309,6,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
310,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
311,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
312,6,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1
313,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
314,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
315,6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
316,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
317,6,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
318,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
319,6,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
320,6,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1
321,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
322,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
323,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
324,6,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1
325,6,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
326,6,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
327,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
328,6,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
329,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
330,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
331,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
332,6,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
333,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
334,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
335,6,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1
336,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
337,6,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
338,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
339,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,6,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
341,6,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0
342,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
343,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
344,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
345,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
346,6,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
347,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
348,6,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
349,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
350,6,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
351,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
352,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
353,6,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
354,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
355,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
356,6,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1
357,6,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1
358,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
359,6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
360,6,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0
