"","site_code","year","site_name","plot","year_trt","trt","totplotcover.yr.live","sr_NA","sr_INT","sr_NAT","sr_UNK","sr_INT.site","sr_non.nat_rare","sr_nat_rare","sr_non.rare_non.nat","sr_non.rare_nat","sr_nat_dom","sr_non.nat_dom","sr_nat_unk_rare","sr_non.nat_unk_rare","sr_non.rare_nat_unk","sr_non.rare_non.nat_unk","sr_non_rare_spp.Freq","sr_non.rare_nat.Freq","sr_non.rare_non.nat.Freq","sr_rare_non.nat.Freq","sr_rare_nat.Freq","sr_rare_unk_nat.Freq","sr_non.rare_nat_unk.Freq","sr_non.rare_non.nat_unk.Freq","sr_rare_non.nat_unk.Freq","sr_non.rare_nat2","sr_non.rare_non.nat2","sr_nat_rare2","sr_non.nat_rare2","sr_non.rare_nat3","sr_non.rare_non.nat3","sr_nat_rare3","sr_non.nat_rare3"
"88","burrawan.au",2015,"Burrawan",24,7,"Control",95.1,3,1,6,0,2,0,0,1,3,0,1,0,0,3,1,4,3,1,0,0,0,3,1,0,3,1,0,0,3,1,0,0
"89","burrawan.au",2013,"Burrawan",24,5,"Control",129.1,4,3,6,1,4,0,1,2,2,0,2,2,1,3,3,6,3,2,0,0,1,4,3,1,2,2,1,0,2,2,1,0
"90","burrawan.au",2011,"Burrawan",1,3,"Control",89,3,1,4,1,3,0,0,1,1,0,1,1,1,2,2,3,1,1,0,0,1,2,2,1,1,1,0,0,1,1,0,0
"91","burrawan.au",2012,"Burrawan",1,4,"Control",80,4,2,6,1,3,0,0,2,2,0,2,1,1,3,3,5,2,2,0,0,1,3,3,1,2,2,0,0,2,2,0,0
"92","burrawan.au",2013,"Burrawan",1,5,"Control",158,4,2,6,1,4,0,0,2,2,0,2,1,1,3,3,5,2,2,0,0,1,3,3,1,2,2,0,0,2,2,0,0
"93","burrawan.au",2014,"Burrawan",1,6,"Control",108,4,2,6,0,4,0,1,2,1,0,2,1,0,1,2,3,1,2,0,1,1,1,2,0,1,2,1,0,1,2,1,0
"94","burrawan.au",2015,"Burrawan",1,7,"Control",131,4,2,6,0,2,0,0,2,2,0,2,0,0,2,2,4,2,2,0,0,0,2,2,0,2,2,0,0,2,2,0,0
"95","burrawan.au",2015,"Burrawan",20,7,"Control",97,1,2,3,0,2,0,1,2,1,0,2,1,0,1,2,3,1,2,0,1,1,1,2,0,1,2,1,0,1,2,1,0
"96","cbgb.us",2009,"Chichaqua Bottoms",24,0,"Control",94,0,1,6,1,9,1,1,0,5,1,0,2,2,6,1,6,6,0,1,0,1,7,1,2,5,0,1,1,6,0,0,1
"97","cbgb.us",2010,"Chichaqua Bottoms",24,1,"Control",126,3,2,7,1,11,1,1,0,5,1,0,1,1,5,0,6,6,0,1,0,0,6,0,1,5,0,1,1,6,0,0,1
"98","cbgb.us",2011,"Chichaqua Bottoms",24,2,"Control",94,4,0,9,0,8,0,1,0,4,1,0,1,0,4,0,5,5,0,0,0,0,5,0,0,4,0,1,0,5,0,0,0
"99","cbgb.us",2012,"Chichaqua Bottoms",24,3,"Control",99,3,2,7,0,9,1,1,0,4,1,0,1,1,4,0,5,5,0,1,0,0,5,0,1,4,0,1,1,5,0,0,1
"100","cbgb.us",2013,"Chichaqua Bottoms",24,4,"Control",81.5,4,3,7,0,13,1,1,0,4,1,0,1,1,4,0,5,5,0,1,0,0,5,0,1,4,0,1,1,5,0,0,1
"101","cbgb.us",2014,"Chichaqua Bottoms",24,5,"Control",117,2,2,7,0,11,1,1,0,5,1,0,1,1,5,0,6,6,0,1,0,0,6,0,1,5,0,1,1,6,0,0,1
"102","cbgb.us",2015,"Chichaqua Bottoms",24,6,"Control",130,2,0,8,0,12,0,1,0,5,1,0,1,0,5,0,6,6,0,0,0,0,6,0,0,5,0,1,0,6,0,0,0
"103","cbgb.us",2016,"Chichaqua Bottoms",24,7,"Control",152,6,1,11,0,10,0,1,0,5,1,0,1,0,5,0,6,6,0,0,0,0,6,0,0,5,0,1,0,6,0,0,0
"104","cbgb.us",2009,"Chichaqua Bottoms",46,0,"Control",106,0,2,9,2,9,2,3,0,6,1,0,5,4,8,2,7,6,0,2,3,5,8,2,4,5,0,4,2,6,0,3,2
"105","cbgb.us",2010,"Chichaqua Bottoms",46,1,"Control",154.5,3,0,9,2,11,0,2,0,5,1,0,3,1,6,1,5,5,0,0,2,3,6,1,1,4,0,3,0,5,0,2,0
"106","cbgb.us",2012,"Chichaqua Bottoms",46,3,"Control",132,6,3,9,2,9,1,2,0,3,1,0,4,3,5,2,4,3,0,1,2,4,5,2,3,2,0,3,1,3,0,2,1
"107","cbgb.us",2013,"Chichaqua Bottoms",46,4,"Control",126,7,2,10,0,13,0,2,0,3,1,0,2,0,3,0,3,3,0,0,2,2,3,0,0,2,0,3,0,3,0,2,0
"108","cbgb.us",2014,"Chichaqua Bottoms",46,5,"Control",119.5,9,4,11,1,11,2,1,0,3,1,0,2,3,4,1,4,3,0,2,1,2,4,1,3,3,0,1,2,3,0,1,2
"109","cbgb.us",2015,"Chichaqua Bottoms",46,6,"Control",133,7,1,10,0,12,0,2,0,2,1,0,2,0,2,0,2,2,0,0,2,2,2,0,0,2,0,2,0,2,0,2,0
"110","cbgb.us",2016,"Chichaqua Bottoms",46,7,"Control",149,8,2,10,0,10,0,1,0,3,1,0,1,0,3,0,3,3,0,0,1,1,3,0,0,2,0,2,0,3,0,1,0
"111","cbgb.us",2009,"Chichaqua Bottoms",1,0,"Control",119,0,1,7,1,9,0,2,1,5,2,1,3,1,6,2,8,6,1,0,1,2,7,2,1,5,1,2,0,6,1,1,0
"112","cbgb.us",2012,"Chichaqua Bottoms",1,3,"Control",158,5,2,10,0,9,0,2,1,4,2,1,2,0,4,1,6,5,1,0,1,1,5,1,0,4,1,2,0,5,1,1,0
